2020-01-23 15:03:50 INFO  DeleteSecurityGroups:87 - Exception SecurityGroupId : sg-05d7b371cabcea070 | Message : The security group 'sg-05d7b371cabcea070' does not exist (Service: Ec2, Status Code: 400, Request ID: 797aa2ad-42c3-4e50-a68f-6439d93ddbb7)
2020-01-23 15:03:50 INFO  DeleteSecurityGroups:92 - SecurityGroupId : sg-05d7b371cabcea070 | Status : Error
2020-01-23 15:03:51 INFO  DeleteSecurityGroups:87 - Exception SecurityGroupId : sg-02f55370ec049509f | Message : The security group 'sg-02f55370ec049509f' does not exist (Service: Ec2, Status Code: 400, Request ID: d2e73693-73d7-4c53-a31d-d9a10c4805f5)
2020-01-23 15:03:51 INFO  DeleteSecurityGroups:92 - SecurityGroupId : sg-02f55370ec049509f | Status : Error
2020-01-23 15:03:51 INFO  DeleteSecurityGroups:92 - SecurityGroupId : sg-09e82798dea364e8a | Status : Skipped
2020-01-23 15:03:52 INFO  DeleteSecurityGroups:87 - Exception SecurityGroupId : sg-09c28c1a1e1bba293 | Message : The security group 'sg-09c28c1a1e1bba293' does not exist (Service: Ec2, Status Code: 400, Request ID: 08c8fd33-c2c1-41d3-ae1f-c70d4930fb1f)
2020-01-23 15:03:52 INFO  DeleteSecurityGroups:92 - SecurityGroupId : sg-09c28c1a1e1bba293 | Status : Error
2020-01-23 15:03:52 INFO  DeleteSecurityGroups:65 - Completed Delete SecurityGroups process
2020-01-23 15:42:59 INFO  DeleteSecurityGroups:35 - Started Delete SecurityGroups process
2020-01-23 15:43:01 INFO  DeleteSecurityGroups:97 - SecurityGroupId : sg-ed6effc4 | Status : Default
2020-01-23 15:43:02 INFO  DeleteSecurityGroups:92 - Exception SecurityGroupId : sg-05d7b371cabcea070 | Message : The security group 'sg-05d7b371cabcea070' does not exist (Service: Ec2, Status Code: 400, Request ID: 6b1f57b2-436c-42d9-a554-b42057e14bb4)
2020-01-23 15:43:02 INFO  DeleteSecurityGroups:97 - SecurityGroupId : sg-05d7b371cabcea070 | Status : Error
2020-01-23 15:43:02 INFO  DeleteSecurityGroups:92 - Exception SecurityGroupId : sg-02f55370ec049509f | Message : The security group 'sg-02f55370ec049509f' does not exist (Service: Ec2, Status Code: 400, Request ID: d0330f28-1ec8-40e5-ace5-50df492db187)
2020-01-23 15:43:02 INFO  DeleteSecurityGroups:97 - SecurityGroupId : sg-02f55370ec049509f | Status : Error
2020-01-23 15:43:03 INFO  DeleteSecurityGroups:97 - SecurityGroupId : sg-09e82798dea364e8a | Status : Skipped
2020-01-23 15:43:03 INFO  DeleteSecurityGroups:92 - Exception SecurityGroupId : sg-09c28c1a1e1bba293 | Message : The security group 'sg-09c28c1a1e1bba293' does not exist (Service: Ec2, Status Code: 400, Request ID: 824a3261-77c7-4fdf-8481-c2fd2e7e2ae9)
2020-01-23 15:43:03 INFO  DeleteSecurityGroups:97 - SecurityGroupId : sg-09c28c1a1e1bba293 | Status : Error
2020-01-23 15:43:03 INFO  DeleteSecurityGroups:67 - Completed Delete SecurityGroups process
2020-01-27 11:20:01 INFO  DescribeVpcs:43 - Started DescribeSecurityGroups process
2020-01-27 11:20:02 INFO  DescribeVpcs:59 - Completed DescribeSecurityGroups process
2020-01-27 11:20:29 INFO  DescribeVpcs:43 - Started DescribeSecurityGroups process
2020-01-27 11:20:31 ERROR DescribeVpcs:216 - software.amazon.awssdk.services.ec2.model.Ec2Exception: You are not authorized to perform this operation. (Service: Ec2, Status Code: 403, Request ID: 2ab42b69-a53e-4dde-ac53-7df813e00424)
2020-01-27 11:20:31 INFO  DescribeVpcs:218 - All VPCs - Count : 0
2020-01-27 11:20:31 INFO  DescribeVpcs:59 - Completed DescribeSecurityGroups process
2020-01-27 11:23:48 INFO  DescribeVpcs:43 - Started DescribeSecurityGroups process
2020-01-27 11:23:50 ERROR DescribeVpcs:216 - software.amazon.awssdk.services.ec2.model.Ec2Exception: AWS was not able to validate the provided access credentials (Service: Ec2, Status Code: 401, Request ID: ccec6bbb-7819-4845-b7a1-1f0f5dcaaf32)
